ano,mes,dia,pre,max,min
2003,1,1,6.1,12.1,3.2
2003,1,2,4.7,14.6,1.4
2003,1,3,0,15.6,2
2003,1,4,0,16.4,-0.8
2003,1,5,0,17.3,-0.7
2003,1,6,0,16.6,-0.5
2003,1,7,2,16.8,0.1
2003,1,8,5.9,17.6,2.4
2003,1,9,14.9,13.8,4.7
2003,1,10,19.7,14.2,0.8
2003,1,11,11.8,12.4,0.3
2003,1,12,0,16.1,2.4
2003,1,13,5.2,16,4
2003,1,14,0,16.2,-0.2
2003,1,15,1.3,17.4,-1
2003,1,16,4.7,14,3.4
2003,1,17,0,15.1,2.6
2003,1,18,2.4,14.1,-99.9
2003,1,19,6.8,10.2,1.4
2003,1,20,0,14.6,0.6
2003,1,21,0,15.8,1.1
2003,1,22,0,16,-1
2003,1,23,10.7,14,0.8
2003,1,24,2.6,15,1.6
2003,1,25,14.6,13.6,3.2
2003,1,26,2.1,14.4,2.2
2003,1,27,6.7,15,3.6
2003,1,28,6,13.6,4
2003,1,29,0.8,14.2,3.3
2003,1,30,2.7,13.4,1.4
2003,1,31,2,13.6,3.2
2003,2,1,7,14.2,3.2
2003,2,2,3.4,13.4,1.1
2003,2,3,4.2,15.8,0.1
2003,2,4,1.9,13.8,3.8
2003,2,5,8.4,16.2,3.8
2003,2,6,0.3,16.9,4.2
2003,2,7,4.6,15,4.6
2003,2,8,3.1,15.3,3.7
2003,2,9,0,15.2,1.3
2003,2,10,6.7,15.4,2.9
2003,2,11,18.5,16,-0.6
2003,2,12,6,14.4,-0.4
2003,2,13,0.2,15.6,0.6
2003,2,14,0,15,1.8
2003,2,15,2.6,15.2,0.8
2003,2,16,1,15.6,1.4
2003,2,17,4.2,14,2.6
2003,2,18,27.7,11.9,2.3
2003,2,19,10.9,13.6,0.3
2003,2,20,7.5,12.2,1.9
2003,2,21,9.2,13.1,2.8
2003,2,22,9.4,13.4,3.6
2003,2,23,13.5,14.4,2.3
2003,2,24,2.2,13.6,0.6
2003,2,25,0,12.3,3.2
2003,2,26,11.9,14.6,0.7
2003,2,27,9.3,13.2,2.6
2003,2,28,0.3,13.4,2.2
2003,3,1,23.1,12,3
2003,3,2,7.3,14,2
2003,3,3,5.6,12.4,2
2003,3,4,1.8,13,3.6
2003,3,5,2.2,14.2,3.5
2003,3,6,8.9,15.2,2.2
2003,3,7,0.3,12.6,2.4
2003,3,8,12.8,15.8,0.8
2003,3,9,0,15,2.6
2003,3,10,0.7,15.6,3.3
2003,3,11,0.3,13.8,0.6
