lat,lon,ano,mes,dia,pre,max,min
-15.281497757017846,-71.68929443414876,2003,1,1,6.1,12.1,3.2
-15.281497757017846,-71.68929443414876,2003,1,2,4.7,14.6,1.4
-15.281497757017846,-71.68929443414876,2003,1,3,0,15.6,2
-15.281497757017846,-71.68929443414876,2003,1,4,0,16.4,-0.8
-15.281497757017846,-71.68929443414876,2003,1,5,0,17.3,-0.7
-15.281497757017846,-71.68929443414876,2003,1,6,0,16.6,-0.5
-15.281497757017846,-71.68929443414876,2003,1,7,2,16.8,0.1
-15.281497757017846,-71.68929443414876,2003,1,8,5.9,17.6,2.4
-15.281497757017846,-71.68929443414876,2003,1,9,14.9,13.8,4.7
-15.281497757017846,-71.68929443414876,2003,1,10,19.7,14.2,0.8
-15.281497757017846,-71.68929443414876,2003,1,11,11.8,12.4,0.3
-15.281497757017846,-71.68929443414876,2003,1,12,0,16.1,2.4
-15.281497757017846,-71.68929443414876,2003,1,13,5.2,16,4
-15.281497757017846,-71.68929443414876,2003,1,14,0,16.2,-0.2
-15.281497757017846,-71.68929443414876,2003,1,15,1.3,17.4,-1
-15.281497757017846,-71.68929443414876,2003,1,16,4.7,14,3.4
-15.281497757017846,-71.68929443414876,2003,1,17,0,15.1,2.6
-15.281497757017846,-71.68929443414876,2003,1,18,2.4,14.1,-99.9
-15.281497757017846,-71.68929443414876,2003,1,19,6.8,10.2,1.4
-15.281497757017846,-71.68929443414876,2003,1,20,0,14.6,0.6
-15.281497757017846,-71.68929443414876,2003,1,21,0,15.8,1.1
-15.281497757017846,-71.68929443414876,2003,1,22,0,16,-1
-15.281497757017846,-71.68929443414876,2003,1,23,10.7,14,0.8
-15.281497757017846,-71.68929443414876,2003,1,24,2.6,15,1.6
-15.281497757017846,-71.68929443414876,2003,1,25,14.6,13.6,3.2
-15.281497757017846,-71.68929443414876,2003,1,26,2.1,14.4,2.2
-15.281497757017846,-71.68929443414876,2003,1,27,6.7,15,3.6
-15.281497757017846,-71.68929443414876,2003,1,28,6,13.6,4
-15.281497757017846,-71.68929443414876,2003,1,29,0.8,14.2,3.3
-15.281497757017846,-71.68929443414876,2003,1,30,2.7,13.4,1.4
-15.281497757017846,-71.68929443414876,2003,1,31,2,13.6,3.2
-15.281497757017846,-71.68929443414876,2003,2,1,7,14.2,3.2
-15.281497757017846,-71.68929443414876,2003,2,2,3.4,13.4,1.1
